model,benchmark,reference_observation_class,reference_method,comparison_observation_class,comparison_method,operator,estimand,metric,unit,favorable_direction,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,success,proportion,higher,40,0.725,0.75,0.025,-0.05,0.1,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,task_tokens,tokens,lower,40,5169.65,3882.625,-1287.025,-1397.0637499999998,-1174.03875,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,observer_tokens,tokens,lower,40,4410.525,0.0,-4410.525,-4556.4275,-4274.064375,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,total_tokens,tokens,lower,40,9580.175,3882.625,-5697.55,-5874.02,-5513.255,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,none,yoked_anchor,latency_ms,milliseconds,lower,40,31670.6,20037.65,-11632.95,-15566.973124999999,-8994.172499999999,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
